Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-05-22,01:00:00,2381.25,2383.75,2381.25,2383,0,0
2017-05-22,02:00:00,2383.25,2383.25,2381.25,2382.5,0,0
2017-05-22,03:00:00,2382.38,2384,2381.5,2381.5,0,0
2017-05-22,04:00:00,2382,2383.25,2381.5,2382.5,0,0
2017-05-22,05:00:00,2382.25,2384,2382.25,2382.75,0,0
2017-05-22,06:00:00,2383,2384.25,2382.75,2384.25,0,0
2017-05-22,07:00:00,2384.5,2384.5,2383.25,2383.25,0,0
2017-05-22,08:00:00,2383.5,2384.5,2383,2384,0,0
2017-05-22,09:00:00,2384.88,2385.25,2384,2384.5,0,0
2017-05-22,10:00:00,2384.5,2384.75,2380.25,2382,0,0
2017-05-22,11:00:00,2382,2383,2380.75,2382,0,0
2017-05-22,12:00:00,2382.5,2383,2378.25,2380,0,0
2017-05-22,13:00:00,2380,2382,2379.5,2381.5,0,0
2017-05-22,14:00:00,2381.25,2383.5,2381.25,2383,0,0
2017-05-22,15:00:00,2383.5,2384.25,2382,2383.5,0,0
2017-05-22,16:00:00,2383.5,2390.75,2383.5,2389.5,0,0
2017-05-22,17:00:00,2389.5,2391,2385.25,2386.5,0,0
2017-05-22,18:00:00,2385.75,2389.75,2385.75,2389.75,0,0
2017-05-22,19:00:00,2389.75,2393.5,2389.25,2391,0,0
2017-05-22,20:00:00,2391.5,2392.5,2390.5,2390.5,0,0
2017-05-22,21:00:00,2390.25,2392.5,2389.75,2391.5,0,0
2017-05-22,22:00:00,2391.25,2394,2391.25,2392,0,0
2017-05-22,23:00:00,2392,2394,2392,2393.5,0,0
2017-05-23,01:00:00,2392.75,2394.75,2389.25,2389.5,0,0
2017-05-23,02:00:00,2389.5,2390,2386.75,2387.5,0,0
2017-05-23,03:00:00,2387.5,2389.5,2387.25,2389,0,0
2017-05-23,04:00:00,2389,2390,2388.5,2388.75,0,0
2017-05-23,05:00:00,2388.5,2391.25,2388.5,2391,0,0
2017-05-23,06:00:00,2390.75,2391.25,2390.5,2391,0,0
2017-05-23,07:00:00,2391,2391,2390.5,2390.75,0,0
2017-05-23,08:00:00,2391,2391,2388.5,2389.75,0,0
2017-05-23,09:00:00,2389.75,2391,2388.25,2388.5,0,0
2017-05-23,10:00:00,2388.25,2396.25,2388.25,2395.75,0,0
2017-05-23,11:00:00,2395.75,2397.5,2395,2396,0,0
2017-05-23,12:00:00,2396,2396.75,2394.5,2394.75,0,0
2017-05-23,13:00:00,2395.25,2396,2394.75,2395.5,0,0
2017-05-23,14:00:00,2395.75,2397.5,2395.5,2396,0,0
2017-05-23,15:00:00,2396,2396.75,2395.25,2395.5,0,0
2017-05-23,16:00:00,2396,2397.25,2392.75,2393.75,0,0
2017-05-23,17:00:00,2393.5,2396.25,2392.25,2396,0,0
2017-05-23,18:00:00,2396,2398.5,2395.5,2398.25,0,0
2017-05-23,19:00:00,2398.25,2399.5,2395.25,2395.5,0,0
2017-05-23,20:00:00,2395.5,2398.25,2395.5,2397,0,0
2017-05-23,21:00:00,2397.5,2399,2395.75,2397.75,0,0
2017-05-23,22:00:00,2398,2399,2395.5,2397,0,0
2017-05-23,23:00:00,2397,2398.5,2396.75,2397.25,0,0
2017-05-24,01:00:00,2396.5,2397,2396.25,2396.75,0,0
2017-05-24,02:00:00,2396.75,2397,2396.5,2397,0,0
2017-05-24,03:00:00,2396.75,2397.25,2395,2396,0,0
2017-05-24,04:00:00,2396,2396.5,2395.25,2396,0,0
2017-05-24,05:00:00,2395.75,2396.25,2395.5,2396,0,0
2017-05-24,06:00:00,2396.5,2396.5,2395.75,2395.75,0,0
2017-05-24,07:00:00,2395.5,2396,2395.25,2395.5,0,0
2017-05-24,08:00:00,2396,2396.5,2395.5,2396.25,0,0
2017-05-24,09:00:00,2396,2397.25,2395.75,2396.75,0,0
2017-05-24,10:00:00,2396.5,2399.25,2395.25,2398.75,0,0
2017-05-24,11:00:00,2398.75,2399,2397.25,2398.5,0,0
2017-05-24,12:00:00,2398.5,2399,2397.5,2398.25,0,0
2017-05-24,13:00:00,2398.5,2399,2397,2397,0,0
2017-05-24,14:00:00,2397,2398,2397,2397.75,0,0
2017-05-24,15:00:00,2398,2399.25,2398,2399,0,0
2017-05-24,16:00:00,2398.75,2400.5,2397.5,2398.75,0,0
2017-05-24,17:00:00,2399,2400,2397,2398.25,0,0
2017-05-24,18:00:00,2398.25,2399.75,2397,2398,0,0
2017-05-24,19:00:00,2398,2399.25,2397.5,2398.5,0,0
2017-05-24,20:00:00,2398.75,2399,2397.25,2398.25,0,0
2017-05-24,21:00:00,2398.25,2401.75,2396.25,2400,0,0
2017-05-24,22:00:00,2400.12,2403.5,2398.5,2403.25,0,0
2017-05-24,23:00:00,2403.25,2403.5,2401.25,2403.25,0,0
2017-05-24,23:59:00,2403.25,2403.25,2403.25,2403.25,0,0
2017-05-25,01:00:00,2403,2403.75,2402.5,2403.25,0,0
2017-05-25,02:00:00,2403.75,2404,2403,2403,0,0
2017-05-25,03:00:00,2403.5,2404.25,2402.75,2403.5,0,0
2017-05-25,04:00:00,2403.25,2411,2403.25,2407.5,0,0
2017-05-25,05:00:00,2407.25,2410.25,2407.25,2409.25,0,0
2017-05-25,06:00:00,2409.62,2410,2408.75,2409,0,0
2017-05-25,07:00:00,2409.25,2409.25,2408.75,2408.75,0,0
2017-05-25,08:00:00,2408.75,2411.75,2408.75,2411.25,0,0
2017-05-25,09:00:00,2411.25,2412.25,2410.25,2410.75,0,0
2017-05-25,10:00:00,2410.5,2411,2407,2407.75,0,0
2017-05-25,11:00:00,2407.75,2408.25,2405.75,2407.75,0,0
2017-05-25,12:00:00,2407.75,2410,2407.75,2409.5,0,0
2017-05-25,13:00:00,2409.75,2409.75,2408,2408.5,0,0
2017-05-25,14:00:00,2408.5,2409,2406.5,2407.5,0,0
2017-05-25,15:00:00,2408,2409,2406.25,2408.25,0,0
2017-05-25,16:00:00,2408.25,2411.75,2406.5,2410.5,0,0
2017-05-25,17:00:00,2410.5,2414.5,2410,2413.25,0,0
2017-05-25,18:00:00,2413.25,2416.25,2410.75,2411,0,0
2017-05-25,19:00:00,2411.5,2415.25,2410.25,2415.25,0,0
2017-05-25,20:00:00,2415.25,2415.5,2412.25,2414.25,0,0
2017-05-25,21:00:00,2414.25,2416.5,2413.75,2415.25,0,0
2017-05-25,22:00:00,2415.25,2417.5,2413,2413,0,0
2017-05-25,23:00:00,2413,2413.75,2412,2413.25,0,0
2017-05-26,01:00:00,2413.75,2414,2411.25,2412,0,0
2017-05-26,02:00:00,2411.75,2413.25,2411.75,2412.75,0,0
2017-05-26,03:00:00,2412.5,2413.25,2411.5,2412,0,0
2017-05-26,04:00:00,2412,2413.75,2412,2412.75,0,0
2017-05-26,05:00:00,2412.75,2412.75,2410.5,2411,0,0
2017-05-26,06:00:00,2411.5,2412,2411.25,2411.75,0,0
2017-05-26,07:00:00,2412,2412.5,2411.5,2412.25,0,0
2017-05-26,08:00:00,2412,2412.5,2411.25,2411.5,0,0
2017-05-26,09:00:00,2411.75,2412.75,2411.25,2412.5,0,0
2017-05-26,10:00:00,2412.75,2415.5,2411.75,2415,0,0
2017-05-26,11:00:00,2415,2415.75,2411.25,2411.5,0,0
2017-05-26,12:00:00,2411.5,2412.5,2410,2410.25,0,0
2017-05-26,13:00:00,2410,2411.75,2410,2410.75,0,0
2017-05-26,14:00:00,2411,2411.5,2408.25,2408.25,0,0
2017-05-26,15:00:00,2408.5,2411.5,2408.25,2411,0,0
2017-05-26,16:00:00,2411,2414.5,2411,2414,0,0
2017-05-26,17:00:00,2414,2415.5,2412.5,2413.25,0,0
2017-05-26,18:00:00,2413,2414.75,2411.75,2411.75,0,0
2017-05-26,19:00:00,2411.75,2414.75,2411.75,2414,0,0
2017-05-26,20:00:00,2413.75,2415,2413,2413.25,0,0
2017-05-26,21:00:00,2413.25,2414.5,2412.75,2414.25,0,0
2017-05-26,22:00:00,2414,2415,2412.75,2413.75,0,0
2017-05-26,23:00:00,2413.75,2414.75,2413.25,2414.5,0,0
2017-05-29,01:00:00,2414.25,2416.75,2414,2416.75,0,0
2017-05-29,02:00:00,2416.75,2417,2415.5,2415.5,0,0
2017-05-29,03:00:00,2415.5,2416.25,2413.75,2416,0,0
2017-05-29,04:00:00,2415.75,2416.5,2415.25,2416.25,0,0
2017-05-29,05:00:00,2416,2416.5,2415.5,2415.75,0,0
2017-05-29,06:00:00,2415.88,2416.75,2415.75,2416,0,0
2017-05-29,07:00:00,2416.25,2416.25,2415.5,2415.5,0,0
2017-05-29,08:00:00,2416,2416,2415.25,2415.25,0,0
2017-05-29,09:00:00,2415.5,2415.5,2414.75,2414.75,0,0
2017-05-29,10:00:00,2415.25,2415.25,2413.75,2415,0,0
2017-05-29,11:00:00,2415.5,2415.75,2414.25,2414.5,0,0
2017-05-29,12:00:00,2414.25,2415.75,2414,2415,0,0
2017-05-29,13:00:00,2414.75,2415.75,2414.5,2415.5,0,0
2017-05-29,14:00:00,2415.25,2416.25,2415,2415.75,0,0
2017-05-29,15:00:00,2416,2416.75,2415.75,2416.75,0,0
2017-05-29,16:00:00,2416.75,2417,2416.25,2416.25,0,0
2017-05-29,17:00:00,2416.75,2416.75,2414.75,2414.75,0,0
2017-05-29,18:00:00,2414.5,2415.75,2414.25,2415.25,0,0
2017-05-29,19:00:00,2415,2415,2414.5,2414.5,0,0
2017-05-30,01:00:00,2414.25,2414.5,2414,2414.25,0,0
2017-05-30,02:00:00,2414,2414.75,2413.75,2414.25,0,0
